"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
5415,50,2013,"ASA","Thailand Golf Championship","Sergio Garcia",38,5689,150,50,200
5418,41,2013,"ONE","Nanshan China Masters","Charl Schwartzel",12,7398,12,9,21
5420,40,2013,"KOR","Musingwear Match Play","Dohoon Kim(Apr1989)",6,7018,1,1,2
5421,42,2013,"ONE"|"KOR","Kolon Korean Open","Sunghoon Kang",14,7881,21,16,37
5423,29,2013,"ADT","Jakarta Classic","James Bowen",6,17090,,,
5424,30,2013,"EUR","M2M Russian Open","Michael Hoey",24,7303,9,,9
5425,30,2013,"CHA","Le Vaudreuil Golf Challenge","Brinson Paolini",12,17638,,,
5426,31,2013,"KOR","Bosung CC Classic","Taehoon Kim",6,7589,1,1,2
5427,31,2013,"ADT","ICTSI Mount Malarayat Classic","Sattaya Supupramai",6,11268,,,
5428,32,2013,"CAN","ATB Financial Classic presented by TELUS","Joe Panzeri",6,15297,,,
5429,32,2013,"ADT","Ballantine’s Taiwan Championship","Iain Steel",6,6139,,,
5430,32,2013,"KOR","SolaSeaDo-Pine Beach Open","Soonsang Hong",6,7020,3,2,5
5431,33,2013,"KOR","Dongchon The 56th KPGA Championship","Hyungtae Kim 404",6,6007,2,2,4
5432,35,2013,"CAN","The Wildfire Invitational","Mark Hubbard",6,16333,,,
5433,35,2013,"CHA","Northern Ireland Open Challenge Presented By Clannah and XJET","Daan Huizing",12,12650,1,1,2
5434,36,2013,"ADT","PGM UMW Sabah Classic","Chan Shih-chang",6,9698,,,
5435,41,2013,"SAM","Puerto Rico Classic presented by Merrill Lynch","Ryan Sullivan",6,17276,,,
5436,42,2013,"CHA","The Foshan Open","Nacho Elvira",12,12988,1,1,2
5437,44,2013,"AFR","Lion of Africa Cape Town Open","Tjaart Van Der Walt",14,5937,1,1,2
5438,44,2013,"ADT","14th ADT Chang Hwa Open","Hung Chien-Yao",6,11738,,,
5439,44,2013,"KOR","HEARLD KYJ Tour Championship","Inhoi Hur",6,9635,,,
5440,45,2013,"AFR","Nedbank Affinity Cup","Jacques Blaauw",4,13681,,,
5443,47,2013,"USA"|"ANZ","ISPS HANDA World Cup of Golf","Jason Day",40,9771,,,
5444,47,2013,"EUR"|"AFR","South African Open Championship","Morten Orum Madsen",32,13411,26,20,46
5445,48,2013,"SAM","Personal Classic presentado por BlackBerry","Fabian Gomez",6,8571,,,
5446,48,2013,"EUR"|"AFR","Alfred Dunhill Championship","Charl Schwartzel",22,7398,44,33,77
5450,49,2013,"EUR"|"ASA","Hong Kong Open","Miguel A Jimenez",20,3596,23,17,40
5451,49,2013,"USA","Northwestern Mutual World Challenge","Zach Johnson",46,6986,279,,279
5452,49,2013,"EUR"|"AFR","Nedbank Challenge","Thomas Bjorn",46,5725,248,15,263
5453,50,2013,"EUR"|"AFR","The Nelson Mandela Championship presented by ISPS Handa","Dawie van der Walt",20,9883,17,13,30
5454,1,2014,"USA","Hyundai Tournament of Champions","Zach Johnson",46,6986,228,31,259
5455,2,2014,"EUR","Volvo Golf Champions","Louis Oosthuizen",34,7672,139,35,174
5456,2,2014,"USA","Sony Open in Hawaii","Jimmy Walker",42,7293,212,20,232
5457,2,2014,"ADT","Linc Group Jakarta Invitational","Pavit Tangkamolprasert",6,11958,,,
5458,3,2014,"USA","Humana Challenge in partnership with the Clinton Foundation","Patrick Reed",40,14838,195,17,212
